database_slug,source_person_id,canonical_name,reference_url,match_basis
cm0001_vanilla_original,75569,Adnan Karahan,https://www.wikidata.org/wiki/Q6097915,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75597,Taşkın Aksoy,https://www.wikidata.org/wiki/Q1285241,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75611,Ali Eren Beşerler,https://www.wikidata.org/wiki/Q4724775,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75624,Ali Nadir Başkan,https://www.wikidata.org/wiki/Q116586807,unique accent/order-insensitive token match; DOB distance 1 day(s)
cm0001_vanilla_original,75625,Ali Nail Durmuş,https://www.wikidata.org/wiki/Q6101899,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75626,Ali Rıza Yılmaz,https://www.wikidata.org/wiki/Q61198452,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75640,Alpaslan Kartal,https://www.wikidata.org/wiki/Q956261,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75649,Altay Dağdelen,https://www.wikidata.org/wiki/Q6095275,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75665,Erdoğan Arıca,https://www.wikidata.org/wiki/Q1313472,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75690,Atacan Öztürk,https://www.wikidata.org/wiki/Q753135,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75693,Atakan Sancarbarlaz,https://www.wikidata.org/wiki/Q21524076,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75708,Atilla Alioğlu,https://www.wikidata.org/wiki/Q134416693,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75712,Atilla Çebi,https://www.wikidata.org/wiki/Q134444167,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75716,Atilla Koca,https://www.wikidata.org/wiki/Q612897,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75733,Aydoğan Hacısalihoğlu,https://www.wikidata.org/wiki/Q134378650,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75737,Necat Aygün,https://www.wikidata.org/wiki/Q322906,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75738,Aygün Taşkıran,https://www.wikidata.org/wiki/Q6089760,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75740,Ayhan Alemdaroğlu,https://www.wikidata.org/wiki/Q15435603,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75743,Ayhan Hüseyinoğlu,https://www.wikidata.org/wiki/Q28647859,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75747,Aykan Atik,https://www.wikidata.org/wiki/Q92927830,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75756,Aytekin Viduşlu,https://www.wikidata.org/wiki/Q4831733,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75792,Barış Özkan,https://www.wikidata.org/wiki/Q132967665,unique accent/order-insensitive token match; DOB distance 0 day(s)
